algorithm,dataset,number of dimensions,Best_Individual_MSE,Best_Individual_R2,Feature_Importances,Baseline_MSE,Baseline_R2,analysis_runtime_sec,config_file,method_name,noise_name,x_noise_frac,y_noise_frac,noise_seed
TI_PI,mat/inv_transf.mat,1.0,34.14444036409791,0.4541136279124858,[1.],0.08686331382558857,0.9986112673470083,18.53584384918213,./configs/Velocity_transformation/config.json,TI_PI_run,y_1pct,0.0,0.01,46
DEA,chf_public.csv,3.0,56626.33578217261,0.889225395356155,[0.09028705 0.56213873 0.34757421 0.        ],38408.639173471725,0.9822874489734161,63.36027956008911,./configs/CHF/config.json,DEA_run,y_5pct,0.0,0.05,47
DEA,rayleigh_data.csv,2.0,0.0003230642370099185,0.9954383183634475,[0.98960696 0.01039304],0.000301446302536379,0.9967086604255601,52.666287422180176,./configs/Rayleigh/config.json,DEA_run,y_5pct,0.0,0.05,47
DEA,dataset-GS1-GS10.txt,2.0,0.07542513681092339,0.9916432822637907,[0.03790287 0.96209713],0.05844400338373371,0.9935247046236555,73.22812557220459,./configs/Wall_model/config.json,DEA_run,y_5pct,0.0,0.05,47
DEA,dataset_keyhole.csv,2.0,0.36942175834681007,0.9468705044993558,[0.97135326 0.         0.02864674 0.        ],0.3436151425615623,0.9505819601628904,63.53383779525757,./configs/Keyhole/config.json,DEA_run,y_5pct,0.0,0.05,47
DEA,MHD_Generator_Data_Uavg.csv,2.0,8972422.021215862,0.8832208373415984,[0.11430364 0.         0.         0.88569636],15724977.05379474,0.7953340080501604,65.91666507720947,./configs/MHD/config.json,DEA_run,y_5pct,0.0,0.05,47
DEA,mat/inv_transf.mat,2.0,0.27991055101074264,0.9949641655730299,[0.86431475 0.         0.13568525],0.2290935346380968,0.9963193875086831,33.59368300437927,./configs/Velocity_transformation/config.json,DEA_run,y_5pct,0.0,0.05,47
PyDimension,chf_public.csv,,872197.0789740776,0.5977770731008852,"[0.07321966036641749, 0.1423707863370544, 0.7844095532965282]",38408.639173471725,0.9822874489734161,709.8266699314117,./configs/CHF/config.json,PyDimension_run,y_5pct,0.0,0.05,47
PyDimension,rayleigh_data.csv,,0.0003135755431778704,0.9965762273872533,[1.0],0.000301446302536379,0.9967086604255601,104.5870144367218,./configs/Rayleigh/config.json,PyDimension_run,y_5pct,0.0,0.05,47
PyDimension,dataset-GS1-GS10.txt,,0.4416634397120188,0.9510659594913443,"[0.022378365778779007, 0.977621634221221]",0.05844400338373371,0.9935247046236555,200.6954231262207,./configs/Wall_model/config.json,PyDimension_run,y_5pct,0.0,0.05,47
PyDimension,dataset_keyhole.csv,,1.978203242529555,0.7154987818160243,[1.0],0.3436151425615623,0.9505819601628904,5.809850454330444,./configs/Keyhole/config.json,PyDimension_run,y_5pct,0.0,0.05,47
PyDimension,MHD_Generator_Data_Uavg.csv,,2629107.580299012,0.9657812593923698,[1.0],15724977.05379474,0.7953340080501604,25.976871013641357,./configs/MHD/config.json,PyDimension_run,y_5pct,0.0,0.05,47
PyDimension,mat/inv_transf.mat,,50.02473435386166,0.19630354288045415,[1.0],0.2290935346380968,0.9963193875086831,61.48652100563049,./configs/Velocity_transformation/config.json,PyDimension_run,y_5pct,0.0,0.05,47
TI_PI,chf_public.csv,3.0,2168797.770726514,-0.0001640778480758165,[0. 0. 0.],38408.639173471725,0.9822874489734161,280.26942133903503,./configs/CHF/config.json,TI_PI_run,y_5pct,0.0,0.05,47
TI_PI,rayleigh_data.csv,1.0,0.038976093803846396,0.574439762855609,[1.],0.000301446302536379,0.9967086604255601,17.18466305732727,./configs/Rayleigh/config.json,TI_PI_run,y_5pct,0.0,0.05,47
TI_PI,dataset-GS1-GS10.txt,2.0,14.260995012680917,-0.5800449955723943,[0.50076478 0.49923522],0.05844400338373371,0.9935247046236555,176.11104083061218,./configs/Wall_model/config.json,TI_PI_run,y_5pct,0.0,0.05,47
TI_PI,dataset_keyhole.csv,1.0,6.017068003440177,0.13463736178817975,[1.],0.3436151425615623,0.9505819601628904,7.4765846729278564,./configs/Keyhole/config.json,TI_PI_run,y_5pct,0.0,0.05,47
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,102226946.82592781,-0.33051891933178035,[1.],15724977.05379474,0.7953340080501604,39.177849531173706,./configs/MHD/config.json,TI_PI_run,y_5pct,0.0,0.05,47
TI_PI,mat/inv_transf.mat,1.0,34.37651666897194,0.44770751885400073,[1.],0.2290935346380968,0.9963193875086831,27.135777950286865,./configs/Velocity_transformation/config.json,TI_PI_run,y_5pct,0.0,0.05,47
DEA,chf_public.csv,1.0,277109.78227306646,0.7788290583826734,[0. 0. 1. 0.],57592.460037232384,0.9736230701192592,62.324620962142944,./configs/CHF/config.json,DEA_run,y_10pct,0.0,0.1,48
DEA,rayleigh_data.csv,2.0,0.0011876914377464097,0.9832404749869111,[0.01305245 0.98694755],0.001195165158256314,0.9870118796437207,33.674386739730835,./configs/Rayleigh/config.json,DEA_run,y_10pct,0.0,0.1,48
DEA,dataset-GS1-GS10.txt,2.0,0.2336903130264427,0.9746388887610103,[0.04361219 0.95638781],0.15215538911758691,0.9834874210272198,72.30468845367432,./configs/Wall_model/config.json,DEA_run,y_10pct,0.0,0.1,48
DEA,dataset_keyhole.csv,2.0,0.3147049099045239,0.9537881773554937,[0.08494296 0.91505704 0.         0.        ],0.27053935885113056,0.9602735245745616,63.237688064575195,./configs/Keyhole/config.json,DEA_run,y_10pct,0.0,0.1,48
DEA,MHD_Generator_Data_Uavg.csv,2.0,5762701.416239171,0.9266230391738237,[0.         0.98273632 0.01726368 0.        ],16250783.047266373,0.7930774154472582,68.1340229511261,./configs/MHD/config.json,DEA_run,y_10pct,0.0,0.1,48
DEA,mat/inv_transf.mat,2.0,0.8569556555007135,0.9849939815160837,[0.         0.84399965 0.15600035],0.839504752014573,0.9867158284082742,34.36166977882385,./configs/Velocity_transformation/config.json,DEA_run,y_10pct,0.0,0.1,48
PyDimension,chf_public.csv,,899892.3239266373,0.5878558284698255,"[0.1829741133718924, 0.1675827678461754, 0.6494431187819322]",57592.460037232384,0.9736230701192592,707.6724364757538,./configs/CHF/config.json,PyDimension_run,y_10pct,0.0,0.1,48
PyDimension,rayleigh_data.csv,,0.0013030498736164638,0.9858394729198292,[1.0],0.001195165158256314,0.9870118796437207,101.9331386089325,./configs/Rayleigh/config.json,PyDimension_run,y_10pct,0.0,0.1,48
PyDimension,dataset-GS1-GS10.txt,,0.5467263243974777,0.9406668297424915,"[0.02574717167229549, 0.9742528283277044]",0.15215538911758691,0.9834874210272198,201.0888867378235,./configs/Wall_model/config.json,PyDimension_run,y_10pct,0.0,0.1,48
PyDimension,dataset_keyhole.csv,,2.4131237524533087,0.6456526626754904,[1.0],0.27053935885113056,0.9602735245745616,5.832323789596558,./configs/Keyhole/config.json,PyDimension_run,y_10pct,0.0,0.1,48
PyDimension,MHD_Generator_Data_Uavg.csv,,3255236.131844979,0.9585508051044875,[1.0],16250783.047266373,0.7930774154472582,25.939822673797607,./configs/MHD/config.json,PyDimension_run,y_10pct,0.0,0.1,48
PyDimension,mat/inv_transf.mat,,51.57488639573716,0.1838883114590838,[1.0],0.839504752014573,0.9867158284082742,67.50770354270935,./configs/Velocity_transformation/config.json,PyDimension_run,y_10pct,0.0,0.1,48
