Solution_Index,R2,MSE,Feature_Importances
15,0.9992702651903298,0.004142058815720995,"0.014418714430869886,0.027506171644877224,0.0,0.0,0.9580751139242529,0.0,0.0"
16,0.9991839159870745,0.0046321868373453675,"0.013341789282697069,0.027117170473052253,0.0,0.0,0.9595410402442506,0.0,0.0"
17,0.9992432601130807,0.0042953427440825045,"0.014595494438348013,0.027139738503689257,0.0,0.0,0.9582647670579627,0.0,0.0"
18,0.9991319781851455,0.004926991782235253,"0.014438046487885743,0.027423412653402902,0.0,0.0,0.9581385408587114,0.0,0.0"
19,0.9991357533828372,0.00490556332538625,"0.014425094589598354,0.027569253461664694,0.0,0.0,0.9580056519487369,0.0,0.0"
20,0.9992096402136029,0.004486173165176165,"0.0167819474476438,0.024868956397487343,0.0,0.0,0.9583490961548689,0.0,0.0"
21,0.9991424848491559,0.004867354747368003,"0.013362764130238548,0.025681150768861093,0.0,0.0,0.9609560851009005,0.0,0.0"
22,0.9993080172502692,0.00392777377598952,"0.0,0.029986325652947298,0.0027454806025477476,0.0,0.9569364069179481,0.010331786826556905,0.0"
23,0.9992848741267412,0.004059136810289669,"0.01437780473618637,0.02700772864139169,0.0,0.0,0.958614466622422,0.0,0.0"
24,0.9993218980804818,0.003848984585190626,"0.0,0.026446390163006154,0.0,0.0,0.9669160162759981,0.006637593560995824,0.0"
25,0.9992317277962492,0.004360801502476401,"0.00798126236342294,0.046288986296364375,0.0,0.0,0.9457297513402128,0.0,0.0"
26,0.9991001776454699,0.005107495307574318,"0.0,0.02733257041679346,0.0,0.0,0.9664582164160854,0.006209213167121112,0.0"
27,0.9992375706605807,0.00432763673166857,"0.007952405430479327,0.046093637582026274,0.0,0.0,0.9459539569874944,0.0,0.0"
28,0.9991452429111721,0.004851699669746178,"0.0,0.04809328318021401,0.0,0.0,0.9441047040586688,0.007802012761117242,0.0"
29,0.9990293973524973,0.005509252401523098,"0.0,0.05271006109529821,0.0,0.0,0.934990591250755,0.012299347653946748,0.0"
30,0.999272745023285,0.004127982998290448,"0.0,0.029553136777600606,0.0,0.0,0.9590576165771169,0.011389246645282531,0.0"
31,0.9990407409221264,0.005444864993986333,"0.0,0.05394839509689404,0.0,0.0,0.9335190713503863,0.012532533552719605,0.0"
32,0.999304012012054,0.003950507969341158,"0.02586127655911581,0.03584957466207354,0.0,0.0,0.9382891487788106,0.0,0.0"
33,0.9994362440648902,0.0031999436096407834,"0.0,0.03408328396446775,0.0,0.0,0.9583747529370078,0.007541963098524512,0.0"
34,0.9990200994546625,0.005562028340376572,"0.0,0.036254060828369176,0.0,0.0,0.9572270573705588,0.0,0.006518881801072133"
35,0.9993487320681815,0.003696671780813392,"0.015511045952399447,0.0,0.0,0.0,0.9707286721738738,0.0,0.013760281873726738"
