solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
20,2,0.24010034222852095,-0.5656621953782364,11,2,\frac{y^{0.72} \cdot u^{1.28} \cdot ρ^{0.97} \cdot T_w^{0.15} \cdot c_p^{0.24} \cdot k_rms^{1.82} \cdot ES^{0.07}}{T^{0.31} \cdot μ^{0.57} \cdot κ^{0.4} \cdot R_a^{1.58}},\frac{u^{0.2} \cdot ρ^{0.46} \cdot T_w^{1.02} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.21}}{y^{0.6} \cdot T^{0.89} \cdot μ^{0.57} \cdot R_a^{0.15}},,,,,,,,,1
21,2,0.2431555617595169,-0.5751011835575897,11,2,\frac{y^{0.4} \cdot ρ^{0.55} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.78} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.62}},\frac{y^{0.44} \cdot u^{1.36} \cdot ρ^{0.81} \cdot c_p^{0.41} \cdot k_rms^{0.07} \cdot R_a^{0.3} \cdot ES^{0.06}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.12} \cdot κ^{0.69}},,,,,,,,,1
22,2,0.2506243772839485,-0.5823009100373482,11,2,\frac{y^{0.4} \cdot ρ^{0.55} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.78} \cdot ES^{0.07}}{u^{0.14} \cdot T^{0.26} \cdot κ^{0.63} \cdot R_a^{1.62}},\frac{y^{0.44} \cdot u^{1.35} \cdot ρ^{0.81} \cdot c_p^{0.41} \cdot k_rms^{0.06} \cdot R_a^{0.3} \cdot ES^{0.06}}{T^{0.22} \cdot T_w^{0.06} \cdot μ^{0.13} \cdot κ^{0.68}},,,,,,,,,1
23,2,0.25933479317148517,-0.5870507269871632,11,2,\frac{y^{0.32} \cdot ρ^{0.55} \cdot T_w^{0.61} \cdot μ^{0.09} \cdot c_p^{0.97} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.12} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.44} \cdot u^{1.35} \cdot ρ^{0.81} \cdot c_p^{0.41} \cdot k_rms^{0.06} \cdot R_a^{0.3} \cdot ES^{0.08}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.13} \cdot κ^{0.68}},,,,,,,,,1
24,2,0.26659322765346943,-0.5903073893710018,11,2,\frac{y^{0.29} \cdot ρ^{0.55} \cdot T_w^{0.6} \cdot μ^{0.09} \cdot c_p^{0.97} \cdot k_rms^{1.78} \cdot ES^{0.07}}{u^{0.11} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.52}},\frac{y^{0.43} \cdot u^{1.32} \cdot ρ^{0.8} \cdot c_p^{0.39} \cdot k_rms^{0.06} \cdot R_a^{0.3} \cdot ES^{0.06}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.14} \cdot κ^{0.66}},,,,,,,,,1
25,2,0.2782868940045866,-0.5965118153670167,11,2,\frac{y^{0.38} \cdot ρ^{0.53} \cdot T_w^{0.61} \cdot μ^{0.06} \cdot c_p^{0.94} \cdot k_rms^{1.77} \cdot ES^{0.07}}{u^{0.18} \cdot T^{0.26} \cdot κ^{0.59} \cdot R_a^{1.63}},\frac{y^{0.44} \cdot u^{1.35} \cdot ρ^{0.81} \cdot c_p^{0.41} \cdot k_rms^{0.07} \cdot R_a^{0.3}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.13} \cdot κ^{0.68} \cdot ES^{0.04}},,,,,,,,,1
26,2,0.2803657557776959,-0.5980139071703369,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.09} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.44} \cdot u^{1.35} \cdot ρ^{0.81} \cdot c_p^{0.41} \cdot k_rms^{0.07} \cdot R_a^{0.3}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.13} \cdot κ^{0.68} \cdot ES^{0.04}},,,,,,,,,1
27,2,0.2826213694042385,-0.5983295381007037,11,2,\frac{y^{0.32} \cdot ρ^{0.55} \cdot T_w^{0.6} \cdot μ^{0.09} \cdot c_p^{0.96} \cdot k_rms^{1.74} \cdot ES^{0.07}}{u^{0.11} \cdot T^{0.28} \cdot κ^{0.63} \cdot R_a^{1.51}},\frac{y^{0.44} \cdot u^{1.34} \cdot ρ^{0.8} \cdot c_p^{0.41} \cdot k_rms^{0.06} \cdot R_a^{0.3}}{T^{0.23} \cdot T_w^{0.04} \cdot μ^{0.12} \cdot κ^{0.68} \cdot ES^{0.04}},,,,,,,,,1
28,2,0.2867931735744019,-0.5989239585648252,11,2,\frac{y^{0.35} \cdot u^{0.11} \cdot ρ^{0.63} \cdot T_w^{0.57} \cdot μ^{0.16} \cdot c_p^{1.05} \cdot k_rms^{1.79} \cdot ES^{0.07}}{T^{0.31} \cdot κ^{0.79} \cdot R_a^{1.51}},\frac{y^{0.4} \cdot u^{1.28} \cdot ρ^{0.7} \cdot c_p^{0.41} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.7}},,,,,,,,,1
29,2,0.2878751498774205,-0.6023853263691454,11,2,\frac{y^{0.35} \cdot u^{0.1} \cdot ρ^{0.64} \cdot T_w^{0.57} \cdot μ^{0.16} \cdot c_p^{1.06} \cdot k_rms^{1.8} \cdot ES^{0.07}}{T^{0.3} \cdot κ^{0.79} \cdot R_a^{1.51}},\frac{y^{0.4} \cdot u^{1.28} \cdot ρ^{0.7} \cdot c_p^{0.41} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.7}},,,,,,,,,1
30,2,0.33313963890733594,-0.663281183673006,11,2,\frac{y^{0.4} \cdot ρ^{0.55} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.78} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.62}},\frac{y^{0.41} \cdot u^{1.32} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.73}},,,,,,,,,1
31,2,0.3413328271838679,-0.6709407844908444,11,2,\frac{y^{0.33} \cdot ρ^{0.59} \cdot T_w^{0.61} \cdot μ^{0.03} \cdot c_p^{0.97} \cdot k_rms^{1.76} \cdot ES^{0.07}}{u^{0.1} \cdot T^{0.26} \cdot κ^{0.62} \cdot R_a^{1.5}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.08}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
32,2,0.341332827183868,-0.6709407844908445,11,2,\frac{y^{0.33} \cdot ρ^{0.59} \cdot T_w^{0.61} \cdot μ^{0.03} \cdot c_p^{0.97} \cdot k_rms^{1.76} \cdot ES^{0.07}}{u^{0.1} \cdot T^{0.26} \cdot κ^{0.62} \cdot R_a^{1.5}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.08}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
33,2,0.34133282718386815,-0.6709407844908447,11,2,\frac{y^{0.33} \cdot ρ^{0.59} \cdot T_w^{0.61} \cdot μ^{0.03} \cdot c_p^{0.97} \cdot k_rms^{1.76} \cdot ES^{0.07}}{u^{0.1} \cdot T^{0.26} \cdot κ^{0.62} \cdot R_a^{1.5}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.08}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
34,2,0.3427483481120482,-0.672427842358115,11,2,\frac{y^{0.33} \cdot ρ^{0.58} \cdot T_w^{0.61} \cdot μ^{0.04} \cdot c_p^{0.97} \cdot k_rms^{1.76} \cdot ES^{0.07}}{u^{0.1} \cdot T^{0.26} \cdot κ^{0.62} \cdot R_a^{1.5}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.08}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
35,2,0.34397130522980435,-0.6772232113233043,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.26} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
36,2,0.3452622260119718,-0.6784014068247166,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.09} \cdot c_p^{0.99} \cdot k_rms^{1.74} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
37,2,0.3467282819383127,-0.6795590262532178,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.09} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.27} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
38,2,0.3469329769670519,-0.6797631787334604,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.26} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
39,2,0.34693301358232054,-0.679763292979497,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.26} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
40,2,0.3469462628077043,-0.6797721482446927,11,2,\frac{y^{0.32} \cdot ρ^{0.56} \cdot T_w^{0.61} \cdot μ^{0.08} \cdot c_p^{0.98} \cdot k_rms^{1.75} \cdot ES^{0.07}}{u^{0.13} \cdot T^{0.26} \cdot κ^{0.64} \cdot R_a^{1.51}},\frac{y^{0.41} \cdot u^{1.31} \cdot ρ^{0.71} \cdot μ^{0.01} \cdot c_p^{0.42} \cdot k_rms^{0.03} \cdot R_a^{0.27} \cdot ES^{0.06}}{T^{0.25} \cdot T_w^{0.05} \cdot κ^{0.72}},,,,,,,,,1
