solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
38,2,1127507.8460338232,-0.26255145864834484,1010,2,\frac{\mu^{0.31} \cdot \rho^{0.53} \cdot \eta^{1.37} \cdot dp_dx^{0.53}}{l^{1.15} \cdot B^{2.73}},\frac{l^{3.74} \cdot \rho^{1.12} \cdot dp_dx^{1.12} \cdot B^{0.37}}{\mu^{2.43} \cdot \eta^{0.19}},,,,,,,,
39,2,1482237.0361586174,-0.2642361162452085,1010,2,\frac{\mu^{0.23} \cdot \rho^{0.6} \cdot \eta^{1.44} \cdot dp_dx^{0.6}}{l^{1.07} \cdot B^{2.88}},\frac{l^{3.48} \cdot \rho^{1.03} \cdot dp_dx^{1.03} \cdot B^{0.4}}{\mu^{2.25} \cdot \eta^{0.2}},,,,,,,,
40,2,1513034.4701532058,-0.2659952654662453,1010,2,\frac{\mu^{0.32} \cdot \rho^{0.56} \cdot \eta^{1.44} \cdot dp_dx^{0.56}}{l^{1.2} \cdot B^{2.88}},\frac{l^{3.48} \cdot \rho^{1.03} \cdot dp_dx^{1.03} \cdot B^{0.4}}{\mu^{2.25} \cdot \eta^{0.2}},,,,,,,,
41,2,1701749.3250947075,-0.2664018902585043,1010,2,\frac{\mu^{0.2} \cdot \rho^{0.58} \cdot \eta^{1.37} \cdot dp_dx^{0.58}}{l^{0.98} \cdot B^{2.74}},\frac{l^{3.41} \cdot \rho^{1.0} \cdot dp_dx^{1.0} \cdot B^{0.42}}{\mu^{2.21} \cdot \eta^{0.21}},,,,,,,,
42,2,1721645.442601712,-0.2672725230119479,1010,2,\frac{\mu^{0.32} \cdot \rho^{0.56} \cdot \eta^{1.44} \cdot dp_dx^{0.56}}{l^{1.2} \cdot B^{2.88}},\frac{l^{3.48} \cdot \rho^{1.02} \cdot dp_dx^{1.02} \cdot B^{0.42}}{\mu^{2.25} \cdot \eta^{0.21}},,,,,,,,
43,2,1728919.2149522766,-0.26877006204614173,1010,2,\frac{\mu^{0.33} \cdot \rho^{0.52} \cdot \eta^{1.37} \cdot dp_dx^{0.52}}{l^{1.18} \cdot B^{2.74}},\frac{l^{3.48} \cdot \rho^{1.02} \cdot dp_dx^{1.02} \cdot B^{0.42}}{\mu^{2.25} \cdot \eta^{0.21}},,,,,,,,
44,2,1733436.7594482943,-0.2688059683954142,1010,2,\frac{\mu^{0.33} \cdot \rho^{0.52} \cdot \eta^{1.37} \cdot dp_dx^{0.52}}{l^{1.18} \cdot B^{2.74}},\frac{l^{3.48} \cdot \rho^{1.02} \cdot dp_dx^{1.02} \cdot B^{0.42}}{\mu^{2.25} \cdot \eta^{0.21}},,,,,,,,
45,3,2871343.951533582,-0.2806422018989952,1101,3,\frac{l^{2.7} \cdot \rho^{1.77} \cdot \eta^{1.31} \cdot dp_dx^{1.77}}{\mu^{2.24} \cdot B^{2.62}},\frac{l^{3.34} \cdot \rho^{0.93} \cdot dp_dx^{0.93} \cdot B^{0.55}}{\mu^{2.13} \cdot \eta^{0.27}},\frac{l^{0.12} \cdot \mu^{0.03} \cdot B^{0.67}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
46,3,3481418.393295939,-0.285772384614742,1101,3,\frac{l^{3.25} \cdot \rho^{1.95} \cdot \eta^{1.31} \cdot dp_dx^{1.95}}{\mu^{2.6} \cdot B^{2.61}},\frac{l^{3.34} \cdot \rho^{0.91} \cdot dp_dx^{0.91} \cdot B^{0.6}}{\mu^{2.13} \cdot \eta^{0.3}},\frac{l^{0.05} \cdot \mu^{0.05} \cdot B^{0.51}}{\rho^{0.15} \cdot \eta^{0.25} \cdot dp_dx^{0.15}},,,,,,,
47,3,4372737.55464067,-0.28780979458198747,1101,3,\frac{l^{3.25} \cdot \rho^{1.94} \cdot \eta^{1.29} \cdot dp_dx^{1.94}}{\mu^{2.6} \cdot B^{2.58}},\frac{l^{3.35} \cdot \rho^{0.9} \cdot dp_dx^{0.9} \cdot B^{0.66}}{\mu^{2.12} \cdot \eta^{0.33}},\frac{l^{0.05} \cdot \mu^{0.05} \cdot B^{0.51}}{\rho^{0.15} \cdot \eta^{0.25} \cdot dp_dx^{0.15}},,,,,,,
48,3,4436755.125078716,-0.288571097961165,1101,3,\frac{l^{2.69} \cdot \rho^{1.77} \cdot \eta^{1.31} \cdot dp_dx^{1.77}}{\mu^{2.23} \cdot B^{2.63}},\frac{l^{3.36} \cdot \rho^{0.9} \cdot dp_dx^{0.9} \cdot B^{0.66}}{\mu^{2.13} \cdot \eta^{0.33}},\frac{l^{0.12} \cdot \mu^{0.03} \cdot B^{0.65}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
49,3,4457398.754931278,-0.28895170847546636,1101,3,\frac{l^{2.69} \cdot \rho^{1.77} \cdot \eta^{1.31} \cdot dp_dx^{1.77}}{\mu^{2.23} \cdot B^{2.62}},\frac{l^{3.36} \cdot \rho^{0.9} \cdot dp_dx^{0.9} \cdot B^{0.66}}{\mu^{2.13} \cdot \eta^{0.33}},\frac{l^{0.12} \cdot \mu^{0.03} \cdot B^{0.67}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
