solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
36,4,527204.3054464028,-0.14564112863449943,1111,4,\frac{Tube Diameter^{2.8} \cdot Pressure^{0.37} \cdot Mass Flux^{0.63} \cdot Inlet Subcooling^{3.76}}{Heated Length^{5.75} \cdot Outlet Quality^{0.33} \cdot g^{2.95}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.62} \cdot g^{7.28}},\frac{Heated Length^{1.44} \cdot Pressure^{2.49} \cdot Outlet Quality^{5.49} \cdot Inlet Subcooling^{0.11}}{Tube Diameter^{1.79} \cdot Mass Flux^{1.49} \cdot g^{0.35}},\frac{Heated Length^{5.69} \cdot Pressure^{2.36} \cdot Outlet Quality^{0.95} \cdot g^{4.03}}{Tube Diameter^{1.66} \cdot Mass Flux^{1.36} \cdot Inlet Subcooling^{4.22}},,,,,,
37,4,531214.0056502336,-0.156078162947546,1111,4,\frac{Tube Diameter^{2.91} \cdot Pressure^{0.21} \cdot Mass Flux^{0.79} \cdot Outlet Quality^{1.14} \cdot Inlet Subcooling^{3.99}}{Heated Length^{6.0} \cdot g^{3.09}},\frac{Heated Length^{0.21} \cdot Mass Flux^{4.25} \cdot Inlet Subcooling^{9.88}}{Tube Diameter^{7.47} \cdot Pressure^{3.25} \cdot Outlet Quality^{8.59} \cdot g^{7.26}},\frac{Tube Diameter^{2.37} \cdot Mass Flux^{9.8} \cdot Outlet Quality^{7.3} \cdot Inlet Subcooling^{5.26} \cdot g^{0.14}}{Heated Length^{2.23} \cdot Pressure^{8.8}},\frac{Tube Diameter^{5.68} \cdot Mass Flux^{2.32} \cdot Outlet Quality^{1.03} \cdot g^{1.82}}{Heated Length^{3.86} \cdot Pressure^{1.32} \cdot Inlet Subcooling^{0.16}},,,,,,
38,3,531449.8539034241,-0.1784669674812792,1101,3,\frac{Tube Diameter^{2.91} \cdot Pressure^{0.21} \cdot Mass Flux^{0.79} \cdot Outlet Quality^{1.15} \cdot Inlet Subcooling^{3.99}}{Heated Length^{6.0} \cdot g^{3.09}},\frac{Heated Length^{0.21} \cdot Mass Flux^{4.25} \cdot Inlet Subcooling^{9.88}}{Tube Diameter^{7.47} \cdot Pressure^{3.25} \cdot Outlet Quality^{8.59} \cdot g^{7.26}},\frac{Tube Diameter^{5.81} \cdot Mass Flux^{2.4} \cdot Outlet Quality^{1.03} \cdot g^{1.92}}{Heated Length^{3.88} \cdot Pressure^{1.4} \cdot Inlet Subcooling^{0.22}},,,,,,,
39,3,533340.9282719864,-0.16660830717205993,1101,3,\frac{Tube Diameter^{2.79} \cdot Pressure^{0.31} \cdot Mass Flux^{0.69} \cdot Inlet Subcooling^{4.05}}{Heated Length^{5.99} \cdot Outlet Quality^{0.35} \cdot g^{3.2}},\frac{Heated Length^{0.21} \cdot Mass Flux^{4.25} \cdot Inlet Subcooling^{9.88}}{Tube Diameter^{7.47} \cdot Pressure^{3.25} \cdot Outlet Quality^{8.56} \cdot g^{7.26}},\frac{Tube Diameter^{5.65} \cdot Mass Flux^{2.58} \cdot Outlet Quality^{1.04} \cdot g^{1.94}}{Heated Length^{3.71} \cdot Pressure^{1.58} \cdot Inlet Subcooling^{0.15}},,,,,,,
40,3,539023.2178903728,-0.1797520879708261,1101,3,\frac{Tube Diameter^{2.78} \cdot Pressure^{0.29} \cdot Mass Flux^{0.71} \cdot Outlet Quality^{1.72} \cdot Inlet Subcooling^{4.05}}{Heated Length^{5.98} \cdot g^{3.2}},\frac{Heated Length^{0.21} \cdot Mass Flux^{4.25} \cdot Inlet Subcooling^{9.88}}{Tube Diameter^{7.47} \cdot Pressure^{3.25} \cdot Outlet Quality^{8.56} \cdot g^{7.26}},\frac{Tube Diameter^{5.7} \cdot Mass Flux^{2.52} \cdot Outlet Quality^{1.04} \cdot g^{1.94}}{Heated Length^{3.76} \cdot Pressure^{1.52} \cdot Inlet Subcooling^{0.18}},,,,,,,
41,4,545929.3474199254,-0.17607231680892133,1111,4,\frac{Tube Diameter^{2.83} \cdot Pressure^{0.3} \cdot Mass Flux^{0.7} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.88}}{Heated Length^{5.86} \cdot g^{3.03}},\frac{Heated Length^{0.2} \cdot Mass Flux^{4.29} \cdot Inlet Subcooling^{9.85}}{Tube Diameter^{7.4} \cdot Pressure^{3.29} \cdot Outlet Quality^{8.56} \cdot g^{7.2}},\frac{Tube Diameter^{2.34} \cdot Mass Flux^{9.83} \cdot Outlet Quality^{7.34} \cdot Inlet Subcooling^{5.28} \cdot g^{0.14}}{Heated Length^{2.2} \cdot Pressure^{8.83}},\frac{Tube Diameter^{5.68} \cdot Mass Flux^{2.33} \cdot Outlet Quality^{1.04} \cdot g^{1.82}}{Heated Length^{3.86} \cdot Pressure^{1.33} \cdot Inlet Subcooling^{0.16}},,,,,,
42,3,634078.8118984068,-0.18615966923867933,1101,3,\frac{Tube Diameter^{2.86} \cdot Pressure^{0.27} \cdot Mass Flux^{0.73} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.86}}{Heated Length^{5.86} \cdot g^{3.0}},\frac{Heated Length^{0.14} \cdot Mass Flux^{4.5} \cdot Inlet Subcooling^{9.67}}{Tube Diameter^{7.06} \cdot Pressure^{3.5} \cdot Outlet Quality^{7.73} \cdot g^{6.92}},\frac{Tube Diameter^{6.05} \cdot Mass Flux^{2.74} \cdot Outlet Quality^{1.03} \cdot g^{2.23}}{Heated Length^{3.82} \cdot Pressure^{1.74} \cdot Inlet Subcooling^{0.37}},,,,,,,
43,3,634078.8118984068,-0.1861596692386793,1101,3,\frac{Tube Diameter^{2.86} \cdot Pressure^{0.27} \cdot Mass Flux^{0.73} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.86}}{Heated Length^{5.86} \cdot g^{3.0}},\frac{Heated Length^{0.14} \cdot Mass Flux^{4.5} \cdot Inlet Subcooling^{9.67}}{Tube Diameter^{7.06} \cdot Pressure^{3.5} \cdot Outlet Quality^{7.73} \cdot g^{6.92}},\frac{Tube Diameter^{6.05} \cdot Mass Flux^{2.74} \cdot Outlet Quality^{1.03} \cdot g^{2.23}}{Heated Length^{3.82} \cdot Pressure^{1.74} \cdot Inlet Subcooling^{0.37}},,,,,,,
44,4,634143.4616472906,-0.1799394644908049,1111,4,\frac{Tube Diameter^{2.87} \cdot Pressure^{0.27} \cdot Mass Flux^{0.73} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.86}}{Heated Length^{5.86} \cdot g^{3.0}},\frac{Heated Length^{0.14} \cdot Mass Flux^{4.5} \cdot Inlet Subcooling^{9.67}}{Tube Diameter^{7.06} \cdot Pressure^{3.5} \cdot Outlet Quality^{7.73} \cdot g^{6.92}},\frac{Tube Diameter^{2.36} \cdot Mass Flux^{9.9} \cdot Outlet Quality^{7.3} \cdot Inlet Subcooling^{5.52}}{Heated Length^{2.43} \cdot Pressure^{8.9} \cdot g^{0.07}},\frac{Tube Diameter^{6.05} \cdot Mass Flux^{2.74} \cdot Outlet Quality^{1.03} \cdot g^{2.23}}{Heated Length^{3.82} \cdot Pressure^{1.74} \cdot Inlet Subcooling^{0.37}},,,,,,
45,3,635379.9162801761,-0.1862829354289539,1101,3,\frac{Tube Diameter^{2.82} \cdot Pressure^{0.29} \cdot Mass Flux^{0.71} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.89}}{Heated Length^{5.86} \cdot g^{3.03}},\frac{Heated Length^{0.14} \cdot Mass Flux^{4.5} \cdot Inlet Subcooling^{9.67}}{Tube Diameter^{7.06} \cdot Pressure^{3.5} \cdot Outlet Quality^{7.73} \cdot g^{6.92}},\frac{Tube Diameter^{6.05} \cdot Mass Flux^{2.74} \cdot Outlet Quality^{1.03} \cdot g^{2.23}}{Heated Length^{3.82} \cdot Pressure^{1.74} \cdot Inlet Subcooling^{0.37}},,,,,,,
46,3,644434.4652318403,-0.19017251864892246,1101,3,\frac{Tube Diameter^{2.78} \cdot Pressure^{0.27} \cdot Mass Flux^{0.73} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.83}}{Heated Length^{5.75} \cdot g^{2.97}},\frac{Heated Length^{0.24} \cdot Mass Flux^{4.45} \cdot Inlet Subcooling^{9.58}}{Tube Diameter^{7.09} \cdot Pressure^{3.45} \cdot Outlet Quality^{7.71} \cdot g^{6.86}},\frac{Tube Diameter^{6.06} \cdot Mass Flux^{2.73} \cdot Outlet Quality^{1.03} \cdot g^{2.24}}{Heated Length^{3.82} \cdot Pressure^{1.73} \cdot Inlet Subcooling^{0.38}},,,,,,,
47,3,652386.9014446696,-0.1922344713561253,1101,3,\frac{Tube Diameter^{2.82} \cdot Pressure^{0.31} \cdot Mass Flux^{0.69} \cdot Outlet Quality^{1.25} \cdot Inlet Subcooling^{3.81}}{Heated Length^{5.79} \cdot g^{2.97}},\frac{Heated Length^{0.26} \cdot Mass Flux^{4.44} \cdot Inlet Subcooling^{9.56}}{Tube Diameter^{7.1} \cdot Pressure^{3.44} \cdot Outlet Quality^{7.71} \cdot g^{6.84}},\frac{Tube Diameter^{6.06} \cdot Mass Flux^{2.73} \cdot Outlet Quality^{1.03} \cdot g^{2.24}}{Heated Length^{3.82} \cdot Pressure^{1.73} \cdot Inlet Subcooling^{0.38}},,,,,,,
