solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
34,2,0.003043521520343838,-0.10192371792462729,11,2,\frac{U^{1.79} \cdot t^{1.4}}{y^{1.01} \cdot nu^{0.39}},\frac{nu^{0.12} \cdot U^{0.04} \cdot t^{0.16}}{y^{0.29}},,,,,,,,,1
35,2,0.0030466627299497754,-0.10628501882984609,11,2,\frac{U^{1.78} \cdot t^{1.38}}{y^{0.97} \cdot nu^{0.41}},\frac{nu^{0.12} \cdot U^{0.04} \cdot t^{0.16}}{y^{0.29}},,,,,,,,,1
36,2,0.0030587530143724056,-0.5042718875724342,11,2,\frac{nu^{0.17} \cdot t^{0.15}}{y^{0.32} \cdot U^{0.02}},\frac{U^{1.67} \cdot t^{0.93}}{y^{0.18} \cdot nu^{0.75}},,,,,,,,,1
37,2,0.0030594618622978085,-0.5097728594898012,11,2,\frac{nu^{0.17} \cdot t^{0.15}}{y^{0.32} \cdot U^{0.02}},\frac{U^{1.62} \cdot t^{0.91}}{y^{0.19} \cdot nu^{0.72}},,,,,,,,,1
38,2,0.0030938424314687165,-0.5110495749198994,11,2,\frac{nu^{0.18} \cdot t^{0.16}}{y^{0.34} \cdot U^{0.02}},\frac{U^{1.67} \cdot t^{0.93}}{y^{0.18} \cdot nu^{0.75}},,,,,,,,,1
39,2,0.0030942652757888077,-0.5124037449234071,11,2,\frac{nu^{0.19} \cdot t^{0.15}}{y^{0.34} \cdot U^{0.04}},\frac{U^{1.68} \cdot t^{0.93}}{y^{0.19} \cdot nu^{0.74}},,,,,,,,,1
40,2,0.0030944343207494384,-0.5168096076149301,11,2,\frac{nu^{0.19} \cdot t^{0.15}}{y^{0.34} \cdot U^{0.04}},\frac{U^{1.67} \cdot t^{0.93}}{y^{0.19} \cdot nu^{0.74}},,,,,,,,,1
41,2,0.0030950107010350872,-0.5211024645623105,11,2,\frac{nu^{0.19} \cdot t^{0.15}}{y^{0.34} \cdot U^{0.04}},\frac{U^{1.68} \cdot t^{0.94}}{y^{0.2} \cdot nu^{0.74}},,,,,,,,,1
42,2,0.005475326335405272,-0.5557862994746687,11,2,\frac{nu^{0.11} \cdot t^{0.02}}{y^{0.13} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
43,2,0.005500841501493474,-0.5572588085250721,11,2,\frac{nu^{0.11} \cdot t^{0.02}}{y^{0.13} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
44,2,0.005617087411963747,-0.5613909718151194,11,2,\frac{nu^{0.1} \cdot t^{0.02}}{y^{0.12} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
45,2,0.006131034410243625,-0.5779494115544974,11,2,\frac{nu^{0.1} \cdot t^{0.01}}{y^{0.11} \cdot U^{0.09}},\frac{U^{1.71} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
46,2,0.006177549584447202,-0.5905728056756088,11,2,\frac{nu^{0.1} \cdot t^{0.01}}{y^{0.12} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
47,2,0.006254862167649744,-0.6156204660546796,11,2,\frac{nu^{0.13}}{y^{0.13} \cdot U^{0.12}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
48,2,0.007202978162800323,-0.616348708601051,11,2,\frac{nu^{0.09}}{y^{0.1} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
49,2,0.00721186448609722,-0.617231157655681,11,2,\frac{nu^{0.09}}{y^{0.1} \cdot U^{0.09}},\frac{U^{1.7} \cdot t^{1.05}}{y^{0.4} \cdot nu^{0.65}},,,,,,,,,1
